unique_trial_id,season,id,trial,task,emergence
summer _20210803-1_T1,summer,20210803-1,T1,od,10
summer _20210803-1_T2,summer,20210803-1,T2,od,0
summer _20210803-1_T3,summer,20210803-1,T3,od,2
summer _20210803-1_T4,summer,20210803-1,T4,od,4
summer _20210803-1_T5,summer,20210803-1,T5,od,4
summer _20210803-1_T6,summer,20210803-1,T6,od,2
summer _20210803-1_T7,summer,20210803-1,T7,od,1
summer _20210803-1_T8,summer,20210803-1,T8,od,0
summer _20210803-1_T9,summer,20210803-1,T9,od,12
summer _20210803-1_T10,summer,20210803-1,T10,od,2
winter_20210803-1_T1,winter,20210803-1,T1,od,1
winter_20210803-1_T2,winter,20210803-1,T2,od,4
winter_20210803-1_T3,winter,20210803-1,T3,od,0
winter_20210803-1_T4,winter,20210803-1,T4,od,16
winter_20210803-1_T5,winter,20210803-1,T5,od,20
winter_20210803-1_T6,winter,20210803-1,T6,od,2
winter_20210803-1_T7,winter,20210803-1,T7,od,24
winter_20210803-1_T8,winter,20210803-1,T8,od,18
winter_20210803-1_T9,winter,20210803-1,T9,od,0
winter_20210803-1_T10,winter,20210803-1,T10,od,1
spring_20210803-1_T1,spring,20210803-1,T1,od,0
spring_20210803-1_T2,spring,20210803-1,T2,od,14
spring_20210803-1_T3,spring,20210803-1,T3,od,13
spring_20210803-1_T4,spring,20210803-1,T4,od,22
spring_20210803-1_T5,spring,20210803-1,T5,od,45
spring_20210803-1_T6,spring,20210803-1,T6,od,29
spring_20210803-1_T7,spring,20210803-1,T7,od,44
spring_20210803-1_T8,spring,20210803-1,T8,od,1
spring_20210803-1_T9,spring,20210803-1,T9,od,17
spring_20210803-1_T10,spring,20210803-1,T10,od,20
summer _20210803-3_T1,summer,20210803-3,T1,od,9
summer _20210803-3_T2,summer,20210803-3,T2,od,7
summer _20210803-3_T3,summer,20210803-3,T3,od,8
summer _20210803-3_T4,summer,20210803-3,T4,od,5
summer _20210803-3_T5,summer,20210803-3,T5,od,16
summer _20210803-3_T6,summer,20210803-3,T6,od,62
summer _20210803-3_T7,summer,20210803-3,T7,od,2
summer _20210803-3_T8,summer,20210803-3,T8,od,11
summer _20210803-3_T9,summer,20210803-3,T9,od,25
summer _20210803-3_T10,summer,20210803-3,T10,od,17
summer _20210803-4_T1,summer,20210803-4,T1,od,5
summer _20210803-4_T2,summer,20210803-4,T2,od,6
summer _20210803-4_T3,summer,20210803-4,T3,od,10
summer _20210803-4_T5,summer,20210803-4,T5,od,3
summer _20210803-4_T6,summer,20210803-4,T6,od,5
summer _20210803-4_T7,summer,20210803-4,T7,od,2
summer _20210803-4_T8,summer,20210803-4,T8,od,10
summer _20210803-4_T9,summer,20210803-4,T9,od,1
summer _20210912-2_T1,summer,20210912-2,T1,od,14
summer _20210912-2_T2,summer,20210912-2,T2,od,0
summer _20210912-2_T3,summer,20210912-2,T3,od,17
summer _20210912-2_T4,summer,20210912-2,T4,od,5
summer _20210912-2_T5,summer,20210912-2,T5,od,8
summer _20210912-2_T6,summer,20210912-2,T6,od,0
summer _20210912-2_T7,summer,20210912-2,T7,od,10
summer _20210912-2_T8,summer,20210912-2,T8,od,3
summer _20210912-2_T9,summer,20210912-2,T9,od,8
summer _20210912-2_T10,summer,20210912-2,T10,od,41
summer _20210802-8_T1,summer,20210802-8,T1,od,5
summer _20210802-8_T2,summer,20210802-8,T2,od,45
summer _20210802-8_T3,summer,20210802-8,T3,od,13
summer _20210802-8_T4,summer,20210802-8,T4,od,15
summer _20210802-8_T5,summer,20210802-8,T5,od,6
summer _20210802-8_T6,summer,20210802-8,T6,od,10
summer _20210802-8_T7,summer,20210802-8,T7,od,8
summer _20210802-8_T8,summer,20210802-8,T8,od,12
summer _20210802-8_T9,summer,20210802-8,T9,od,10
summer _20210802-8_T10,summer,20210802-8,T10,od,1
winter_20210803-3_T1,winter,20210803-3,T1,od,1
winter_20210803-3_T2,winter,20210803-3,T2,od,0
winter_20210803-3_T3,winter,20210803-3,T3,od,0
winter_20210803-3_T4,winter,20210803-3,T4,od,2
winter_20210803-3_T5,winter,20210803-3,T5,od,1
winter_20210803-3_T6,winter,20210803-3,T6,od,0
winter_20210803-3_T7,winter,20210803-3,T7,od,0
winter_20210803-3_T8,winter,20210803-3,T8,od,1
winter_20210803-3_T9,winter,20210803-3,T9,od,1
winter_20210803-3_T10,winter,20210803-3,T10,od,1
winter_20210912-2_T1,winter,20210912-2,T1,od,0
winter_20210912-2_T2,winter,20210912-2,T2,od,3
winter_20210912-2_T3,winter,20210912-2,T3,od,0
winter_20210912-2_T4,winter,20210912-2,T4,od,5
winter_20210912-2_T5,winter,20210912-2,T5,od,2
winter_20210912-2_T6,winter,20210912-2,T6,od,2
winter_20210912-2_T7,winter,20210912-2,T7,od,1
winter_20210912-2_T8,winter,20210912-2,T8,od,3
winter_20210912-2_T9,winter,20210912-2,T9,od,1
winter_20210912-2_T10,winter,20210912-2,T10,od,3
winter_20210803-4_T1,winter,20210803-4,T1,od,20
winter_20210803-4_T2,winter,20210803-4,T2,od,22
winter_20210803-4_T3,winter,20210803-4,T3,od,51
winter_20210803-4_T4,winter,20210803-4,T4,od,18
winter_20210803-4_T5,winter,20210803-4,T5,od,34
winter_20210803-4_T6,winter,20210803-4,T6,od,27
winter_20210803-4_T7,winter,20210803-4,T7,od,2
winter_20210803-4_T8,winter,20210803-4,T8,od,0
winter_20210803-4_T9,winter,20210803-4,T9,od,2
winter_20210803-4_T10,winter,20210803-4,T10,od,4
winter_20210802-8_T1,winter,20210802-8,T1,od,5
winter_20210802-8_T3,winter,20210802-8,T3,od,42
winter_20210802-8_T4,winter,20210802-8,T4,od,4
winter_20210802-8_T5,winter,20210802-8,T5,od,2
winter_20210802-8_T6,winter,20210802-8,T6,od,4
winter_20210802-8_T7,winter,20210802-8,T7,od,22
winter_20210802-8_T8,winter,20210802-8,T8,od,2
winter_20210802-8_T9,winter,20210802-8,T9,od,1
winter_20210802-8_T10,winter,20210802-8,T10,od,0
spring_20210803-3_T1,spring,20210803-3,T1,od,1
spring_20210803-3_T2,spring,20210803-3,T2,od,1
spring_20210803-3_T3,spring,20210803-3,T3,od,1
spring_20210803-3_T4,spring,20210803-3,T4,od,0
spring_20210803-3_T5,spring,20210803-3,T5,od,0
spring_20210803-3_T6,spring,20210803-3,T6,od,45
spring_20210803-3_T7,spring,20210803-3,T7,od,1
spring_20210803-3_T8,spring,20210803-3,T8,od,1
spring_20210803-3_T9,spring,20210803-3,T9,od,1
spring_20210803-3_T10,spring,20210803-3,T10,od,0
spring_20210802-8_T1,spring,20210802-8,T1,od,26
spring_20210802-8_T2,spring,20210802-8,T2,od,40
spring_20210802-8_T3,spring,20210802-8,T3,od,93
spring_20210802-8_T4,spring,20210802-8,T4,od,80
spring_20210802-8_T5,spring,20210802-8,T5,od,22
spring_20210802-8_T6,spring,20210802-8,T6,od,28
spring_20210802-8_T7,spring,20210802-8,T7,od,68
spring_20210802-8_T8,spring,20210802-8,T8,od,3
spring_20210802-8_T9,spring,20210802-8,T9,od,45
spring_20210802-8_T10,spring,20210802-8,T10,od,35
spring_20210912-2_T1,spring,20210912-2,T1,od,0
spring_20210912-2_T2,spring,20210912-2,T2,od,0
spring_20210912-2_T3,spring,20210912-2,T3,od,0
spring_20210912-2_T4,spring,20210912-2,T4,od,2
spring_20210912-2_T5,spring,20210912-2,T5,od,0
spring_20210912-2_T6,spring,20210912-2,T6,od,0
spring_20210912-2_T7,spring,20210912-2,T7,od,2
spring_20210912-2_T8,spring,20210912-2,T8,od,3
spring_20210912-2_T9,spring,20210912-2,T9,od,5
spring_20210912-2_T10,spring,20210912-2,T10,od,2
spring_20210803-4_T1,spring,20210803-4,T1,od,5
spring_20210803-4_T2,spring,20210803-4,T2,od,65
spring_20210803-4_T3,spring,20210803-4,T3,od,98
spring_20210803-4_T4,spring,20210803-4,T4,od,0
spring_20210803-4_T5,spring,20210803-4,T5,od,13
spring_20210803-4_T6,spring,20210803-4,T6,od,0
spring_20210803-4_T7,spring,20210803-4,T7,od,9
spring_20210803-4_T8,spring,20210803-4,T8,od,38
spring_20210803-4_T9,spring,20210803-4,T9,od,61
spring_20210803-4_T10,spring,20210803-4,T10,od,62
summer_20210802-1_T1,summer,20210802-1,T1,od,20
summer_20210802-1_T2,summer,20210802-1,T2,od,2
summer_20210802-1_T3,summer,20210802-1,T3,od,6
summer_20210802-1_T4,summer,20210802-1,T4,od,8
summer_20210802-1_T5,summer,20210802-1,T5,od,18
summer_20210802-1_T6,summer,20210802-1,T6,od,33
summer_20210802-1_T7,summer,20210802-1,T7,od,50
summer_20210802-1_T8,summer,20210802-1,T8,od,28
summer_20210802-1_T9,summer,20210802-1,T9,od,36
summer_20210802-1_T10,summer,20210802-1,T10,od,14
summer_20210802-2_T1,summer,20210802-2,T1,od,1
summer_20210802-2_T2,summer,20210802-2,T2,od,4
summer_20210802-2_T3,summer,20210802-2,T3,od,7
summer_20210802-2_T4,summer,20210802-2,T4,od,9
summer_20210802-2_T5,summer,20210802-2,T5,od,7
summer_20210802-2_T6,summer,20210802-2,T6,od,2
summer_20210802-2_T7,summer,20210802-2,T7,od,45
summer_20210802-2_T8,summer,20210802-2,T8,od,1
summer_20210802-2_T9,summer,20210802-2,T9,od,3
summer_20210802-2_T10,summer,20210802-2,T10,od,1
summer_20210802-3_T1,summer,20210802-3,T1,od,3
summer_20210802-3_T2,summer,20210802-3,T2,od,11
summer_20210802-3_T3,summer,20210802-3,T3,od,47
summer_20210802-3_T4,summer,20210802-3,T4,od,53
summer_20210802-3_T5,summer,20210802-3,T5,od,10
summer_20210802-3_T6,summer,20210802-3,T6,od,20
summer_20210802-3_T7,summer,20210802-3,T7,od,12
summer_20210802-3_T8,summer,20210802-3,T8,od,44
summer_20210802-3_T9,summer,20210802-3,T9,od,2
summer_20210802-3_T10,summer,20210802-3,T10,od,2
